X..Gene.Family	test_data_Abundance.RPKs
UniRef90_A0A066P2B6	114.0433593993
UniRef90_A0A066P2B6|g__Enterobacter.s__Enterobacter_cloacae_complex	114.0433593993
UniRef90_A0A066P2P0	190.8328521352
UniRef90_A0A066P2P0|g__Enterobacter.s__Enterobacter_cloacae_complex	190.8328521352
UniRef90_A0A066P304	28.4247764257
UniRef90_A0A066P304|unclassified	28.4247764257
UniRef90_A0A066P3J6	81.6539115337
UniRef90_A0A066P3J6|g__Enterobacter.s__Enterobacter_cloacae_complex	81.6539115337
UniRef90_A0A066P5L7	35.1938978345
UniRef90_A0A066P5L7|unclassified	35.1938978345
UniRef90_A0A066P6G6	40.7312625713
UniRef90_A0A066P6G6|unclassified	40.7312625713
UniRef90_A0A066P782	115.2836046446
UniRef90_A0A066P782|g__Enterobacter.s__Enterobacter_cloacae_complex	115.2836046446
UniRef90_A0A066P9I5	40.4991063133
UniRef90_A0A066P9I5|unclassified	40.4991063133
UniRef90_A0A066P9P5	72.8041594142
UniRef90_A0A066P9P5|g__Enterobacter.s__Enterobacter_cloacae_complex	72.8041594142
UniRef90_A0A066P9Q0	0
UniRef90_A0A066P9Q0|unclassified	0
UniRef90_A0A066P9W0	87.8802972000
UniRef90_A0A066P9W0|g__Enterobacter.s__Enterobacter_cloacae_complex	87.8802972000
UniRef90_A0A066PA66	38.5013486783
UniRef90_A0A066PA66|unclassified	38.5013486783
UniRef90_A0A066PAN3	26.9857376648
UniRef90_A0A066PAN3|g__Enterobacter.s__Enterobacter_cloacae_complex	26.9857376648
UniRef90_A0A066PAP3	76.4079156407
UniRef90_A0A066PAP3|g__Enterobacter.s__Enterobacter_cloacae_complex	76.4079156407
UniRef90_A0A066PD10	146.1859930712
UniRef90_A0A066PD10|g__Enterobacter.s__Enterobacter_cloacae_complex	146.1859930712
UniRef90_A0A066PD10|unclassified	0
UniRef90_A0A066PD81	111.1781938317
UniRef90_A0A066PD81|g__Enterobacter.s__Enterobacter_cloacae_complex	111.1781938317
UniRef90_A0A066PDB8	3.9133301155
UniRef90_A0A066PDB8|unclassified	3.9133301155
UniRef90_A0A066PE63	26.9415769096
UniRef90_A0A066PE63|unclassified	26.9415769096
UniRef90_A0A066PEZ9	80.4642271983
UniRef90_A0A066PEZ9|unclassified	80.4642271983
UniRef90_A0A066Q2S0	69.4379428894
UniRef90_A0A066Q2S0|g__Enterobacter.s__Enterobacter_cloacae_complex	69.4379428894
UniRef90_A0A066RAR0	3.1948866068
UniRef90_A0A066RAR0|unclassified	3.1948866068
UniRef90_A0A066SXL8	276.6729822854
UniRef90_A0A066SXL8|g__Enterobacter.s__Enterobacter_cloacae_complex	276.6729822854
UniRef90_A0A068F3V6	0
UniRef90_A0A068F3V6|unclassified	0
UniRef90_A0A068LNP1	16.3102404160
UniRef90_A0A068LNP1|unclassified	16.3102404160
UniRef90_A0A068MR32	177.9790465187
UniRef90_A0A068MR32|g__Bacillus.s__Bacillus_subtilis_group	177.9790465187
UniRef90_A0A068MT21	38.8567983082
UniRef90_A0A068MT21|g__Bacillus.s__Bacillus_subtilis_group	38.8567983082
UniRef90_A0A068MTN6	24.2904212668
UniRef90_A0A068MTN6|g__Bacillus.s__Bacillus_subtilis_group	24.2904212668
UniRef90_A0A068MTV0	172.7968441478
UniRef90_A0A068MTV0|g__Bacillus.s__Bacillus_subtilis_group	172.7968441478
UniRef90_A0A068MUB7	184.2178265765
UniRef90_A0A068MUB7|g__Bacillus.s__Bacillus_subtilis_group	184.2178265765
UniRef90_A0A068MUL2	47.2485438794
UniRef90_A0A068MUL2|g__Bacillus.s__Bacillus_subtilis_group	47.2485438794
UniRef90_A0A068MVS7	186.7708363807
UniRef90_A0A068MVS7|g__Bacillus.s__Bacillus_subtilis_group	186.7708363807
UniRef90_A0A068MY18	122.3619589919
UniRef90_A0A068MY18|g__Bacillus.s__Bacillus_subtilis_group	122.3619589919
UniRef90_A0A068MYM9	39.1444143387
UniRef90_A0A068MYM9|g__Bacillus.s__Bacillus_subtilis_group	39.1444143387
UniRef90_A0A068MZD7	169.8034462013
UniRef90_A0A068MZD7|g__Bacillus.s__Bacillus_subtilis_group	169.8034462013
UniRef90_A0A068N0V9	15.9861042053
UniRef90_A0A068N0V9|g__Bacillus.s__Bacillus_subtilis_group	15.9861042053
UniRef90_A0A068N0Y2	188.7155731790
UniRef90_A0A068N0Y2|g__Bacillus.s__Bacillus_subtilis_group	188.7155731790
UniRef90_A0A068N178	82.0814949299
UniRef90_A0A068N178|g__Bacillus.s__Bacillus_subtilis_group	82.0814949299
UniRef90_A0A068N1G7	189.6462977236
UniRef90_A0A068N1G7|g__Bacillus.s__Bacillus_subtilis_group	189.6462977236
UniRef90_A0A068N2E1	128.0711574257
UniRef90_A0A068N2E1|g__Bacillus.s__Bacillus_subtilis_group	128.0711574257
UniRef90_A0A068N2G3	12.1630079087
UniRef90_A0A068N2G3|g__Bacillus.s__Bacillus_subtilis_group	12.1630079087
UniRef90_A0A068NYL2	61.5710796411
UniRef90_A0A068NYL2|unclassified	61.5710796411
UniRef90_A0A068PC67	93.0481283422
UniRef90_A0A068PC67|g__Bacillus.s__Bacillus_subtilis_group	93.0481283422
UniRef90_A0A068Q5I5	62.1677154620
UniRef90_A0A068Q5I5|unclassified	62.1677154620
UniRef90_A0A068ZAY9	0
UniRef90_A0A068ZAY9|unclassified	0
UniRef90_A0A068ZVY7	0
UniRef90_A0A068ZVY7|unclassified	0
UniRef90_A0A069J5W7	27.4830665512
UniRef90_A0A069J5W7|unclassified	27.4830665512
UniRef90_A0A069XW85	8.9757000481
UniRef90_A0A069XW85|unclassified	8.9757000481
UniRef90_A0A070UMN8	2.1615537103
UniRef90_A0A070UMN8|unclassified	2.1615537103
UniRef90_A0A072NY54	10.5890957007
UniRef90_A0A072NY54|unclassified	10.5890957007
UniRef90_A0A073F4A2	3.7596018447
UniRef90_A0A073F4A2|unclassified	3.7596018447
UniRef90_A0A073HHQ7	0
UniRef90_A0A073HHQ7|unclassified	0
UniRef90_A0A074TJB5	0
UniRef90_A0A074TJB5|unclassified	0
UniRef90_A0A074TJJ7	4.9951469295
UniRef90_A0A074TJJ7|unclassified	4.9951469295
UniRef90_A0A074TJK1	16.1237734685
UniRef90_A0A074TJK1|unclassified	16.1237734685
UniRef90_A0A074TJK6	67.5188665034
UniRef90_A0A074TJK6|unclassified	67.5188665034
UniRef90_A0A074TJL3	92.6187150255
UniRef90_A0A074TJL3|unclassified	92.6187150255
UniRef90_A0A074TJQ8	0
UniRef90_A0A074TJQ8|unclassified	0
UniRef90_A0A074TJS7	42.0461351122
UniRef90_A0A074TJS7|unclassified	42.0461351122
UniRef90_A0A074TJU5	28.3413098168
UniRef90_A0A074TJU5|unclassified	28.3413098168
UniRef90_A0A074TJW2	8.7946497603
UniRef90_A0A074TJW2|unclassified	8.7946497603
UniRef90_A0A074TJX4	0
UniRef90_A0A074TJX4|unclassified	0
UniRef90_A0A074TJY0	15.7575633439
UniRef90_A0A074TJY0|unclassified	15.7575633439
UniRef90_A0A074TJZ5	20.7776025206
UniRef90_A0A074TJZ5|unclassified	20.7776025206
UniRef90_A0A074TK10	17.0465489567
UniRef90_A0A074TK10|unclassified	17.0465489567
UniRef90_A0A074TK15	15.0108636345
UniRef90_A0A074TK15|unclassified	15.0108636345
UniRef90_A0A074TK18	20.3918543962
UniRef90_A0A074TK18|unclassified	20.3918543962
UniRef90_A0A074TK22	1.5575091569
UniRef90_A0A074TK22|unclassified	1.5575091569
UniRef90_A0A074TK30	3.1645569620
UniRef90_A0A074TK30|unclassified	3.1645569620
UniRef90_A0A074TK63	0
UniRef90_A0A074TK63|unclassified	0
UniRef90_A0A074TK75	6.6775730932
UniRef90_A0A074TK75|unclassified	6.6775730932
UniRef90_A0A074TK77	50.7315352591
UniRef90_A0A074TK77|unclassified	50.7315352591
UniRef90_A0A074TK94	0
UniRef90_A0A074TK94|g__Enterobacter.s__Enterobacter_cloacae_complex	0
UniRef90_A0A074TKA3	14.2907247955
UniRef90_A0A074TKA3|unclassified	14.2907247955
UniRef90_A0A074TKC2	13.5960972381
UniRef90_A0A074TKC2|unclassified	13.5960972381
UniRef90_A0A074TKJ6	31.0069777281
UniRef90_A0A074TKJ6|unclassified	31.0069777281
UniRef90_A0A074TKK7	14.7780690378
UniRef90_A0A074TKK7|unclassified	14.7780690378
UniRef90_A0A074TKQ6	11.9051837154
UniRef90_A0A074TKQ6|unclassified	11.9051837154
UniRef90_A0A074TMH3	9.5348230314
UniRef90_A0A074TMH3|unclassified	9.5348230314
UniRef90_A0A074TMI9	17.4318913677
UniRef90_A0A074TMI9|unclassified	17.4318913677
UniRef90_A0A074TMP8	14.2049134986
UniRef90_A0A074TMP8|unclassified	14.2049134986
UniRef90_A0A074TMR5	3.7313432836
UniRef90_A0A074TMR5|unclassified	3.7313432836
UniRef90_A0A074TMX6	4.2196680507
UniRef90_A0A074TMX6|unclassified	4.2196680507
UniRef90_A0A074TMZ5	0
