Organism	GF_CC1	GF_CC2	GF_CC3	GF_CC4	GF_CC5	GF_CN1	GF_CN2	GF_CN3	GF_CN4	GF_CN5	GF_CR1	GF_CR2	GF_CR3	GF_CR4	GF_CR5	GF_PF1	GF_PF2	GF_PF3	SA_CC2	SA_CC5	SA_CN1	SA_CN2	SA_CN3	SA_CN4	SA_CN5	SA_CR1	SA_CR2	SA_CR3	SA_CR4	SA_CR5	SA_PF1	SA_PF2	SA_PF3	SA_PF4	SA_PF5
PeM15	0.001279	0.000426	0.00071	0.001563	0.00071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002558	0.002131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pedosphaerales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00071	0.0	0.0	0.000426	0.002131	0.008241	0.02316	0.010088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00071	0.000284	0.000995	0.0	0.013072	0.012788	0.009946	0.000142	0.018045
Phylum_AncK6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000426	0.000142	0.000568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000568	0.000284	0.000426	0.000853	0.00071
Phylum_Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	0.019892	0.043905	0.050156	0.040637	0.032822	0.014066	0.028275	0.026854	0.024439	0.02728	0.053282	0.10628	0.050725	0.0	0.0	0.012788	0.030548	0.017477	0.034243	0.038221	0.028701	0.038079	0.042199	0.039784	0.042199	0.112248	0.08312	0.102444	0.08994	0.064649
Phylum_PAUC34f	0.0	0.0	0.0	0.0	0.0	0.0027	0.003978	0.003552	0.003126	0.003978	0.00611	0.009946	0.007815	0.006394	0.007388	0.001989	0.000995	0.000995	0.0	0.0	0.001989	0.0027	0.00611	0.003126	0.0027	0.007531	0.007957	0.007531	0.005826	0.005399	0.001279	0.001563	0.001989	0.000995	0.002273
Phylum_Poribacteria	0.0	0.0	0.0	0.0	0.0	0.009236	0.009804	0.012646	0.011935	0.002984	0.039074	0.033816	0.046746	0.048025	0.035379	0.000853	0.007531	0.000142	0.0	0.0	0.007815	0.00611	0.016766	0.009378	0.004689	0.058539	0.046746	0.0395	0.035521	0.05655	0.007815	0.0027	0.003836	0.008241	0.000426
Pirellulales	0.0	0.00412	0.000568	0.000284	0.000142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001421	0.001137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Propionibacteriales	0.0	0.00071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pseudomonadales	0.0	0.0	0.0	0.0	0.000142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Puniceispirillales	0.000853	0.000853	0.001563	0.0027	0.000426	0.001847	0.002131	0.00341	0.000284	0.00071	0.010514	0.018045	0.014919	0.013072	0.016624	0.0	0.00071	0.001705	0.0	0.000142	0.001705	0.001279	0.001279	0.00071	0.001705	0.014493	0.016908	0.015487	0.018329	0.018613	0.0027	0.002131	0.003836	0.002415	0.001421
Rhizobiales	0.004263	0.039074	0.013924	0.000853	0.006962	0.012077	0.01023	0.012077	0.009804	0.010088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014209	0.003268	0.012646	0.014635	0.018045	0.009093	0.024581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rhodobacterales	0.003268	0.004405	0.017334	0.0027	0.001563	0.044047	0.025291	0.034243	0.036232	0.050867	0.025433	0.032964	0.030264	0.029412	0.025575	0.02245	0.008667	0.009804	0.021029	0.000568	0.034811	0.026002	0.037084	0.032964	0.025718	0.02657	0.027565	0.036232	0.034953	0.037795	0.011083	0.008241	0.012646	0.028133	0.008099
Rhodospirillales	0.00071	0.0	0.001847	0.000995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000284	0.000142	0.000284	0.0	0.000995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000284	0.001137	0.000284	0.000995	0.000568
Rhodothermales	0.0	0.0	0.0	0.0	0.0	0.005399	0.001847	0.002273	0.002558	0.002984	0.000284	0.00071	0.000568	0.00071	0.001279	0.022165	0.025575	0.017903	0.0	0.0	0.003552	0.008241	0.003552	0.004263	0.007531	0.0	0.000284	0.000568	0.000284	0.000568	0.038789	0.015629	0.043478	0.028417	0.027849
Rhodovibrionales	0.00071	0.000568	0.001421	0.000995	0.000142	0.0	0.0	0.0	0.0	0.0	0.012646	0.011083	0.0027	0.013782	0.003694	0.015345	0.013356	0.014351	0.000995	0.0	0.0	0.0	0.0	0.0	0.0	0.00682	0.013356	0.006252	0.005683	0.002273	0.024723	0.025007	0.021739	0.019892	0.028275
Rickettsiales	0.0	0.0	0.000284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
